Site,Date,Nutrients,Herbivory,Plot,Replicate,Species,Unique_ID,TH,Thickness,TS,Toughness,P_calcification,DW:WW,WW:TH,SA:V,SA:WW
Hilton,2025-04-24T00:00:00Z,L,L,1,8,Turbinaria,H-1.08-Turb-E,7.9,0.1,1.84,38.67,0,0.12655601659751037,0.610126582278481,6.243818435555556,5.829291070539419
Hilton,2025-04-24T00:00:00Z,L,L,1,9,Turbinaria,H-1.09-Turb-F,16.1,0.03,3,43.45,0,0.13520822065981614,1.1484472049689438,4.859766635882353,4.468146717685236
Hilton,2025-04-24T00:00:00Z,L,L,1,20,Turbinaria,H-1.20-Turb-N,11.5,0.49,2.64,65.85,0,0.1306122448979592,0.6391304347826087,4.167846253636363,6.237593032653062
Hilton,2025-04-24T00:00:00Z,L,L,1,21,Turbinaria,H-1.21-Turb-O,11.8,0.31,2.4,58.71,0,0.14213197969543148,0.6677966101694914,3.8775979990000002,4.920809643401015
Hilton,2025-04-24T00:00:00Z,L,L,1,23,Turbinaria,H-1.23-Turb-P,7.86,0.48,2.46,48.47,0,0.12759643916913946,0.8575063613231552,4.360836035714286,4.529058197329377
West,2025-04-26T00:00:00Z,L,H,5,1,Halimeda,W-5.01-Hali-A,10,0.07,0.22,32.6,65.71428571428571,0.43610547667342797,0.528,26.328600405679513,14.959432048681542
West,2025-04-26T00:00:00Z,L,H,5,2,Halimeda,W-5.02-Hali-B,3,0.115,0.8,11.65,80,0.2467532467532467,0.2733333333333333,5.458857142857143,6.6571428571428575
West,2025-04-26T00:00:00Z,L,H,5,3,Halimeda,W-5.03-Hali-C,8.1,0.08,1.3,16.77,66.66666666666666,0.2370689655,0.3308641975308642,10.654925287356322,11.927155172413793
West,2025-04-26T00:00:00Z,L,H,5,4,Halimeda,W-5.04-Hali-D,8.6,0.08,0.86,10.74,82.14285714285715,0.34670487106017206,0.43837209302325586,14.290352435530083,11.371633237822348
West,2025-04-26T00:00:00Z,L,H,5,5,Amansia,W-5.05-Aman-A,6.1,0.0025,2.7,21.27,0,0.1899441340782123,0.5868852459016394,40.0092,27.939385474860334
West,2025-04-26T00:00:00Z,L,H,5,6,Amansia,W-5.06-Aman-B,7.4,0.0025,2.88,23.28,0,0.22222222222222224,0.5594594594594594,20.758666666666667,15.042512077294688
West,2025-04-26T00:00:00Z,L,H,5,7,Amansia,W-5.07-Aman-C,4.1,0.005,4.5,22.08,0,0.2241379310344828,2.165853658536586,22.800165517241382,25.675862068965518
West,2025-04-26T00:00:00Z,L,H,5,8,Halimeda,W-5.08-Hali-E,8,0.07,0.7,61.21,64.13793103448275,0.45473908413205544,1.355,14.533276890308837,10.72566560170394
West,2025-04-26T00:00:00Z,L,H,5,9,Caulerpa,W-5.09-Caule-A,8.3,0.08,0.14,10.78,0,0.04481132075471698,0.5108433734939759,5.975,5.636792452830188
West,2025-04-26T00:00:00Z,L,H,5,10,Amansia,W-5.10-Aman-D,4.9,0.0025,2.94,10.77,0,0.3333333333333333,0.4530612244897959,24.691,22.24414414414414
West,2025-04-26T00:00:00Z,L,H,5,11,Halimeda,W-5.11-Hali-F,16.5,0.075,1.6,57.76,64,0.3714942528735633,1.4090909090909092,9.396875,6.466666666666667
West,2025-04-26T00:00:00Z,L,H,5,12,Amansia,W-5.12-Aman-E,7.4,0.0025,1.4,22.28,0,0.16167664670658685,0.22567567567567565,27.181,16.276047904191618
West,2025-04-26T00:00:00Z,L,H,5,13,Halimeda,W-5.13-Hali-G,10.4,0.085,1.5,32.21,55.319148936170215,0.2676767676767675,0.23557692307692307,11.465505050505051,9.359595959595959
West,2025-04-26T00:00:00Z,L,H,5,14,Halimeda,W-5.14-Hali-H,19.5,0.09,2.58,54.24,69.35483870967741,0.47184635530336094,3.907692307692308,13.722918201658665,9.004539502400698
West,2025-04-26T00:00:00Z,L,H,5,15,Halimeda,W-5.15-Hali-I,19.6,0.08,1.68,39.99,51.38888888888889,0.4484536082474226,1.310204081632653,21.391175257731962,16.65979381443299
West,2025-04-26T00:00:00Z,L,H,5,16,Amansia,W-5.16-Aman-F,7.5,0.0025,1.38,32.17,0,0.10755148741418763,0.5826666666666667,30.94666666666667,21.244851258581235
West,2025-04-26T00:00:00Z,L,H,5,17,Caleurpa,W-5.17-Caule-B,10.1,0.12,0.23,10.79,0,0.04709141274238228,0.3574257425742574,9.3695,10.381717451523546
West,2025-04-26T00:00:00Z,L,H,5,18,Amansia,W-5.18-Aman-G,4,0.005,1.96,26.5,0,0.18681318681318682,0.2275,15.657,17.205494505494507
West,2025-04-26T00:00:00Z,L,H,5,19,Halimeda,W-5.19-Hali-J,15.9,0.085,0.92,53.99,65.78947368421053,0.43585526315789463,0.4062893081761006,11.5274875,8.92220394736842
West,2025-04-26T00:00:00Z,L,H,5,20,Halimeda,W-5.20-Hali-K,4.1,0.065,0.36,10.77,57.14285714285715,0.2571428571428571,0.11951219512195123,4.8482,9.894285714285715
West,2025-04-26T00:00:00Z,L,H,5,21,Amansia,W-5.21-Aman-H,4.7,0.005,1.64,19.24,0,0.1875,0.13617021276595745,15.308,23.91875
West,2025-04-26T00:00:00Z,L,H,5,22,Halimeda,W-5.22-Hali-L,9,0.07,1.46,56.73,77.04918032786885,0.42082429501084595,4.152222222222222,29.930046420824294,12.013665943600868
West,2025-04-26T00:00:00Z,L,H,5,23,Halimeda,W-5.23-Hali-M,20.9,0.05,1,28.27,71.42857142857143,0.48247663551401876,0.8325358851674641,13.150619158878506,9.069392523364488
West,2025-04-26T00:00:00Z,L,H,5,25,Amansia,W-5.25-Aman-I,4.9,0.005,1.92,19.64,0,0.17808219178082194,0.14897959183673468,23.797,32.5986301369863
JetSki,2025-04-27T00:00:00Z,H,H,1,1,Turbinaria,JS-1.01-Turb-A,14.3,0.08,1.8,51.7,0,0.12864077669902912,0.2881118881118881,6.16668458,5.98707240776699
JetSki,2025-04-27T00:00:00Z,H,H,1,2,Halimeda,JS-1.02-Hali-A,12.4,0.085,0.94,10.82,63.793103448275865,0.35016835016835024,0.5258064516129032,12.486239057239056,11.49040404040404
JetSki,2025-04-27T00:00:00Z,H,H,1,3,Halimeda,JS-1.03-Hali-B,14.5,0.085,0.6,65.34,77.31958762886599,0.4071729957805907,0.7206896551724138,11.674188349742147,10.05432489451477
JetSki,2025-04-27T00:00:00Z,H,H,1,4,Halimeda,JS-1.04-Hali-C,14.9,0.07,0.96,107.47,71.27659574468085,0.486046511627907,2.628187919463087,14.616697674418605,10.824418604651164
JetSki,2025-04-27T00:00:00Z,H,H,1,5,Halimeda,JS-1.05-Hali-D,8,0.06,0.82,29.3,76.92307692307693,0.319047619047619,0.27875,28.076761904761906,12.59047619047619
JetSki,2025-04-27T00:00:00Z,H,H,1,6,Halimeda,JS-1.06-Hali-E,17.7,0.065,0.66,50.08,27.058823529411764,0.449016100178891,1.033898305084746,14.901896243291592,10.586046511627908
JetSki,2025-04-27T00:00:00Z,H,H,1,7,Halimeda,JS-1.07-Hali-F,18.6,0.055,1.16,86.85,53.21100917431193,0.4797178130511464,1.411290322580645,12.417824074074074,9.461199294532628
JetSki,2025-04-27T00:00:00Z,H,H,1,8,Halimeda,JS-1.08-Hali-G,11.2,0.05,1,15.79,56.52173913043478,0.33884297520661155,0.5607142857142857,15.35517090909091,12.225454545454546
JetSki,2025-04-27T00:00:00Z,H,H,1,9,Halimeda,JS-1.09-Hali-H,9.7,0.085,0.88,114.09,84.72222222222221,0.48772678762006405,1.0402061855670104,9.112946282461758,5.418996798292422
JetSki,2025-04-27T00:00:00Z,H,H,1,10,Amansia,JS-1.10-Aman-A,5.8,0.0025,1.92,68.73,0,0.11111111111111112,0.2482758620689655,17.01,23.625000000000004
JetSki,2025-04-27T00:00:00Z,H,H,1,11,Amansia,JS-1.11-Aman-B,3.7,0.005,2.3,70.95,0,0.16666666666666666,0.14594594594594595,35.354,32.73518518518518
JetSki,2025-04-27T00:00:00Z,H,H,1,12,Amansia,JS-1.12-Aman-C,4.5,0.01,2.22,50.5,0,0.1724137931034483,0.2577777777777778,25.63866667,33.15344828
JetSki,2025-04-27T00:00:00Z,H,H,1,13,Halimeda,JS-1.13-Hali-I,10.9,0.075,1.06,37.14,73.33333333333333,0.390015600624025,1.203669724770642,14.409357254290173,8.786193447737912
JetSki,2025-04-27T00:00:00Z,H,H,1,14,Halimeda,JS-1.14-Hali-J,19.5,0.075,0.6,73.36,35,0.4933333333333333,1.341025641025641,18.04609264957265,10.351487179487181
JetSki,2025-04-27T00:00:00Z,H,H,1,15,Amansia,JS-1.15-Aman-D,1.9,0.01,0.28,80.08,0,0.10447761194029852,0.35263157894736846,48.514,36.2044776119403
JetSki,2025-04-27T00:00:00Z,H,H,1,16,Halimeda,JS-1.16-Hali-K,8.75,0.06,1,52.27,75.55555555555556,0.3695652173913043,0.6822857142857143,11.344730434782608,9.501449275362319
JetSki,2025-04-27T00:00:00Z,H,H,1,17,Halimeda,JS-1.17-Hali-L,6.7,0.04,1.48,104.19,40,0.4086021505376343,0.32238805970149254,6.066870967741935,11.23494623655914
JetSki,2025-04-27T00:00:00Z,H,H,1,18,Halimeda,JS-1.18-Hali-M,9.2,0.01,1.52,123.3,19.512195121951212,0.49912739965096,1.2902173913043478,21.516187609075047,10.875916230366494
JetSki,2025-04-27T00:00:00Z,H,H,1,19,Halimeda,JS-1.19-Hali-N,11.2,0.06,0.9,34.21,77.41935483870968,0.3813953488372093,0.6035714285714285,12.592045891472868,9.313643410852714
JetSki,2025-04-27T00:00:00Z,H,H,1,20,Halimeda,JS-1.20-Hali-O,6.1,0.01,0.76,90.71,70,0.4600000000000001,0.42622950819672134,15.778360000000001,12.1372
JetSki,2025-04-27T00:00:00Z,H,H,1,21,Halimeda,JS-1.21-Hali-P,7.9,0.1,0.88,44.8,69.23076923076923,0.2187499999999999,0.3,9.633415178571429,12.194196428571429
JetSki,2025-04-27T00:00:00Z,H,H,1,22,Halimeda,JS-1.22-Hali-Q,10.1,0.065,0.9,41.22,60.65573770491803,0.4099060631938514,1.2198019801980198,20.917547395388556,11.884970111016225
JetSki,2025-04-27T00:00:00Z,H,H,1,23,Halimeda,JS-1.23-Hali-R,3.2,0.05,0.8,102.13,80,0.45454545454545453,0.45625,6.489157024793389,8.889256198347109
JetSki,2025-04-27T00:00:00Z,H,H,1,24,Halimeda,JS-1.24-Hali-S,7.4,0.14,1.24,70.05,69.81132075471697,0.41727493917274944,1.1824324324324325,21.30630322384428,9.740024330900242
Hilton,2025-04-29T00:00:00Z,L,L,18,1,Dictyota,H-18.01-Dicty-A,2.9,0.01,0.03,11.59,0,0.14953271028037385,2.8655172413793104,16.327467289719625,29.471962616822427
Hilton,2025-04-29T00:00:00Z,L,L,18,2,Padina,H-18.02-Padi-A,4.9,0.03,0.1,13.18,20.000000000000004,0.15000000000000013,0.09183673469387754,35.768249999999995,39.74249999999999
Hilton,2025-04-29T00:00:00Z,L,L,18,3,Padina,H-18.03-Padi-B,3.4,0.03,0.04,10.72,25.000000000000007,0.22222222222222243,0.06470588235294118,11.415555555555557,25.944444444444446
Hilton,2025-04-29T00:00:00Z,L,L,18,4,Padina,H-18.04-Padi-C,3,0.025,1.4,10.74,50,0.05263157894736847,0.08333333333333333,18.14473684210526,36.28947368421052
Hilton,2025-04-29T00:00:00Z,L,L,18,5,Padina,H-18.05-Padi-D,3.8,0.05,0.1,17.67,20.000000000000004,0.23809523809523814,0.19210526315789475,25.17225396825397,34.48253968253969
Hilton,2025-04-29T00:00:00Z,L,L,18,6,Dictyota,H-18.06-Dicty-B,2.7,0.05,0.092,10.9,0,0.14545454545454545,0.20370370370370372,21.724,39.49818181818181
Hilton,2025-04-29T00:00:00Z,L,L,18,7,Mystery_Brown,H-18.07-MB-A,2.5,0.035,0.001,12.79,0,0.037037037037037035,0.10800000000000001,7.672,14.207407407407405
Hilton,2025-04-29T00:00:00Z,L,L,18,8,Turbinaria,H-18.08-Turb-A,6,0.13,1,44.19,0,0.5161290322580645,0.051666666666666666,4.52389342,36.4830114516129
Hilton,2025-04-29T00:00:00Z,L,L,18,10,Padina,H-18.10-Padi-E,4.7,0.02,0.054,15.98,40.00000000000001,0.19354838709677363,0.07659574468085106,18.8338064516129,52.31612903225806
Hilton,2025-04-29T00:00:00Z,L,L,18,11,Halimeda,H-18.11-Hali-A,3.7,0.05,0.38,34.88,90,0.4382022471910114,0.254054054054054,12.832584269662922,13.651685393258429
Hilton,2025-04-29T00:00:00Z,L,L,18,12,Padina,H-18.12-Padi-F,4.4,0.035,1.2,24.5,25,0.14705882352941166,0.25909090909090904,20.205382352941175,35.44803921568627
Hilton,2025-04-29T00:00:00Z,L,L,18,13,Turbinaria,H-18.13-Turb-B,12.5,0.06,1.98,28.06,0,0.14603174603174604,0.504,5.246847582222222,7.495496546031746
Hilton,2025-04-29T00:00:00Z,L,L,18,15,Turbinaria,H-18.15-Turb-C,14.3,0.08,2.64,22.58,0,0.13659605551497445,0.9573426573426572,42.41150082666667,4.646986942293645
Hilton,2025-04-29T00:00:00Z,L,L,18,16,Padina,H-18.16-Padi-H,2.6,0.045,0.32,14.55,0,0.3333333333333333,0.03461538461538461,5.848,64.97777777777777
Hilton,2025-04-29T00:00:00Z,L,L,18,19,Padina,H-18.19-Padi-K,4,0.07,0.5,17.38,20.000000000000004,0.16666666666666682,0.055,7.448833333333334,33.858333333333334
Hilton,2025-04-29T00:00:00Z,L,L,18,20,Padina,H-18.20-Padi-L,4.6,0.02,0.38,14.99,20.000000000000004,0.11111111111111242,0.030434782608695657,5.237555555555555,37.411111111111104
Hilton,2025-04-29T00:00:00Z,L,L,18,22,Padina,H-18.22-Padi-N,2.1,0.03,0.47,10.77,20.000000000000004,0.44444444444444475,0.06666666666666667,14.139999999999999,20.199999999999996
Hilton,2025-04-29T00:00:00Z,L,L,18,25,Dictyota,H -18.25-Dicty-D,3.7,0.01,0.19,13.12,0,0.16176470588235292,0.1837837837837838,2.760666666666667,6.08970588235294
Church,2025-04-30T00:00:00Z,H,L,6,1,Turbinaria,OC-6.01-Turb-A,6.3,0.09,1.44,35.43,0,0.12837837837837837,0.23492063492063492,5.02567558,6.791453486486486
Church,2025-04-30T00:00:00Z,H,L,6,2,Turbinaria,OC-6.02-Turb-B,3.8,0.05,1.6,50.58,0,0.1068702290076336,0.3447368421052632,3.3258994228,6.347136303053435
Church,2025-04-30T00:00:00Z,H,L,6,3,Padina,OC-6.03-Pad-A,12.4,0.05,0.92,14.73,25.80645161290322,0.15630114566284775,1.9959677419354838,10.096916427986905,8.159124386252044
Church,2025-04-30T00:00:00Z,H,L,6,4,Padina,OC-6.04-Pad-B,7.7,0.06,0.22,14.76,30.232558139534888,0.1978609625668449,0.5415584415584416,18.626297326203208,11.166844919786097
Church,2025-04-30T00:00:00Z,H,L,6,5,Turbinaria,OC-6.05-Turb-C,12,0.1,1.96,45.21,0,0.1506172839506173,0.6749999999999999,3.9387194296000003,6.078270724691358
Church,2025-04-30T00:00:00Z,H,L,6,6,Padina,OC-6.06-Pad-C,16.9,0.04,1.68,25.72,21.428571428571434,0.15613382899628253,0.6449704142011835,10.46818711276332,14.405762081784385
Church,2025-04-30T00:00:00Z,H,L,6,7,Turbinaria,OC-6.07-Turb-D,6.6,0.095,1.88,27.64,0,0.18248175182481752,0.4151515151515152,6.826980034285714,8.720594934306568
Church,2025-04-30T00:00:00Z,H,L,6,8,Turbinaria,OC-6.08-Turb-E,10.2,0.045,1.74,30.32,0,0.22831050228310504,0.2147058823529412,7.10087206,6.484814666666667
Church,2025-04-30T00:00:00Z,H,L,6,9,Turbinaria,OC-6.09-Turb-F,5.9,0.08,2.2,31.38,0,0.25125628140703515,0.3372881355932203,13.729923446666668,10.349188527638193
Church,2025-04-30T00:00:00Z,H,L,6,10,Padina,OC-6.10-Pad-D,13.2,0.045,2.6,28.95,30.58823529411765,0.17275747508305644,1.4325757575757576,2.6448272108843542,2.447619047619048
Church,2025-04-30T00:00:00Z,H,L,6,11,Turbinaria,OC-6.11-Turb-G,12.7,0.11,2.64,34.02,0,0.16412213740458015,0.4125984251968504,4.971046776,4.743365244274809
Church,2025-04-30T00:00:00Z,H,L,6,12,Turbinaria,OC-6.12-Turb-H,8.3,0.08,1.8,34.54,0,0.13821138211382114,0.444578313253012,3.2209469570000002,2.618656062601626
Church,2025-04-30T00:00:00Z,H,L,6,13,Turbinaria,OC-6.13-Turb-T,14.1,0.105,2.1,36.96,0,0.15602150537634407,0.6595744680851064,3.284011521,3.5311951838709676
Church,2025-04-30T00:00:00Z,H,L,6,14,Turbinaria,OC-6.14-Turb-J,2.5,0.06,1.1,31.17,0,0.17307692307692307,0.20800000000000002,2.722713633,5.235987755769231
Church,2025-04-30T00:00:00Z,H,L,6,15,Turbinaria,OC-6.15-Turb-K,4.2,0.07,1.92,23.22,0,0.14516129032258063,0.29523809523809524,6.0411663173333325,7.307862480645161
Church,2025-04-30T00:00:00Z,H,L,6,16,Halimeda,OC-6.16-Hali-A,2.2,0.05,0.24,24.1,66.66666666666666,0.3888888888888886,0.09545454545454544,12.045833333333333,11.472222222222223
Church,2025-04-30T00:00:00Z,H,L,6,18,Padina,OC-6.18-Pad-E,9.9,0.025,0.72,14.8,19.047619047619037,0.12264150943396215,0.12828282828282828,15.673317610062893,37.02358490566038
Church,2025-04-30T00:00:00Z,H,L,6,19,Padina,OC-6.19-Pad-F,10.4,0.045,0.28,22.15,3.4482758620689493,0.19421487603305784,0.28846153846153844,14.666280991735539,24.443801652892564
Church,2025-04-30T00:00:00Z,H,L,6,20,Padina,OC-6.20-Pad-G,13.8,0.055,0.2,20.73,24.242424242424246,0.19780219780219765,0.08985507246376812,8.785740659340659,17.713186813186812
Church,2025-04-30T00:00:00Z,H,L,6,21,Turbinaria,OC-6.21-Turb-L,3.9,0.055,1.3,48.43,0,0.1836734693877551,0.2512820512820513,5.32790843,8.154961882653062
Church,2025-04-30T00:00:00Z,H,L,6,22,Turbinaria,OC-6.22-Turb-M,3.9,0.07,2.28,46.39,0,0.1509433962264151,0.27179487179487183,6.792821449,6.408322121698113
Church,2025-04-30T00:00:00Z,H,L,6,23,Turbinaria,OC-6.23-Turb-N,2.5,0.09,1.56,38.34,0,0.18032786885245902,0.244,15.111060664,12.386115298360656
Church,2025-04-30T00:00:00Z,H,L,6,24,Turbinaria,OC-6.24-Turb-O,9.5,0.13,1.65,32.46,0,0.1738095238095238,0.4421052631578948,2.371069456060606,3.725966288095238
Church,2025-04-30T00:00:00Z,H,L,6,25,Turbinaria,OC-6.25-Turb-P,3.8,0.08,1.48,40.04,0,0.11504424778761063,0.29736842105263156,2.858849315,5.059910292035399
JetSki,2025-05-01T00:00:00Z,H,H,13,1,Turbinaria,JS-13.01-Turb-A,16.9,0.065,2.64,48.1,0,0.1578512396694215,0.7159763313609467,9.079202768333333,4.502084017355371
JetSki,2025-05-01T00:00:00Z,H,H,13,2,Turbinaria,JS-13.02-Turb-B,9.7,0.11,3.9,31.27,0,0.1623931623931624,1.9298969072164949,13.00165573,6.9453289155982905
JetSki,2025-05-01T00:00:00Z,H,H,13,3,Turbinaria,JS-13.03-Turb-C,9.4,0.055,1.8,39.23,0,0.1383495145631068,0.43829787234042555,12.7443942,7.73324890776699
JetSki,2025-05-01T00:00:00Z,H,H,13,4,Turbinaria,JS-13.04-Turb-D,11.1,0.06,1.68,37.01,0,0.152317880794702,0.27207207207207207,14.80999137,9.807941304635762
JetSki,2025-05-01T00:00:00Z,H,H,13,5,Turbinaria,JS-13.05-Turb-E,6,0.07,1.8,43.88,0,0.17045454545454544,0.29333333333333333,7.342018386666666,6.257402034090909
JetSki,2025-05-01T00:00:00Z,H,H,13,6,Turbinaria,JS-13.06-Turb-F,11.5,0.115,1.92,44.86,0,0.1326530612244898,0.3408695652173913,5.9899699925,6.1122142780612245
JetSki,2025-05-01T00:00:00Z,H,H,13,7,Turbinaria,JS-13.07-Turb-G,10.2,0.11,1.86,38.52,0,0.14901960784313728,0.5,13.728759896,6.729784262745098
JetSki,2025-05-01T00:00:00Z,H,H,13,8,Turbinaria,JS-13.08-Turb-H,10.1,0.12,2.34,43.75,0,0.15211640211640212,0.7485148514851485,9.085485954000001,6.008919281746032
JetSki,2025-05-01T00:00:00Z,H,H,13,9,Turbinaria,JS-13.09-Turb-I,8.3,0.11,1.92,43.07,0,0.13978494623655913,0.44819277108433736,8.844746873333333,7.1328603817204295
JetSki,2025-05-01T00:00:00Z,H,H,13,10,Turbinaria,JS-13.10-Turb-J,10.2,0.11,2.4,3.46,0,0.14613778705636743,0.46960784313725495,21.346249415,8.912839004175364
JetSki,2025-05-01T00:00:00Z,H,H,13,11,Turbinaria,JS-13.11-Turb-K,10.3,0.1,2.58,52.97,0,0.1603448275862069,0.5631067961165048,17.289231570000002,8.942705984482759
JetSki,2025-05-01T00:00:00Z,H,H,13,12,Turbinaria,JS-13.12-Turb-L,10.1,0.11,2.34,36.97,0,0.15151515151515152,0.3594059405940594,11.939797415,6.5784007796143245
JetSki,2025-05-01T00:00:00Z,H,H,13,13,Turbinaria,JS-13.13-Turb-M,18.8,0.11,2.52,35.19,0,0.15751211631663972,0.6585106382978724,12.174871446666666,5.900583899838448
JetSki,2025-05-01T00:00:00Z,H,H,13,14,Turbinaria,JS-13.14-Turb-N,12.3,0.12,2.32,34.62,0,0.15301204819277106,0.6747967479674797,12.631645928000001,7.609425257831325
JetSki,2025-05-01T00:00:00Z,H,H,13,15,Turbinaria,JS-13.15-Turb-O,9.2,0.11,1.48,43.03,0,0.1496062992125984,0.41413043478260875,6.3379450125,6.654010511811023
JetSki,2025-05-01T00:00:00Z,H,H,13,16,Turbinaria,JS-13.16-Turb-P,15.9,0.12,2.82,41.58,0,0.14930270713699756,0.7666666666666666,8.922123136666666,4.391529025430681
JetSki,2025-05-01T00:00:00Z,H,H,13,17,Valonia,JS-13.17-Val-A,3.3,0.23,0.001,96.48,0,0.03049645390070922,4.2727272727272725,1.2648333333333335,1.07645390070922
